PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0084,06_06057_000276,64414,Badajoz,-5.05529755_ ,38.88331227_ ,6057
TSI-068100-2024-0084,06_06162_000619,31986,Badajoz,-6.21481428_ ,38.82113589_ ,6162
TSI-068100-2024-0084,06_06157_000601,SPA-BA00644,Badajoz,-4.81196658_ ,39.20093543_ ,6157
TSI-068100-2024-0084,06_06125_000519,87879,Badajoz,-5.05121288_ ,38.97029252_ ,6125
TSI-068100-2024-0084,06_06098_000465,104073,Badajoz,-6.13134777_ ,38.69441420_ ,6098
TSI-068100-2024-0084,06_06067_000300,88733,Badajoz,-6.69011008_ ,38.16596681_ ,6067
TSI-068100-2024-0084,06_06036_000210,88413,Badajoz,-5.53490947_ ,38.72100306_ ,6036
TSI-068100-2024-0084,06_06016_000169,88161,Badajoz,-6.85555827_ ,38.46900724_ ,6016
TSI-068100-2024-0084,06_06060_000283,88717,Badajoz,-6.10514065_ ,38.85464060_ ,6060
TSI-068100-2024-0084,06_06058_000324,83783,Badajoz,-6.48054036_ ,38.92303882_ ,6058
TSI-068100-2024-0084,06_06070_000314,SPA-BA00375,Badajoz,-6.75798293_ ,38.32160537_ ,6070
TSI-068100-2024-0084,06_06065_000294,100945,Badajoz,-6.00115003_ ,38.38077877_ ,6065
TSI-068100-2024-0084,06_06032_000248,88358,Badajoz,-6.32008339_ ,39.02082703_ ,6032
TSI-068100-2024-0084,06_06063_000291,SPA-BA00326,Badajoz,-5.03389281_ ,39.16111164_ ,6063
TSI-068100-2024-0084,06_06085_000415,06_00002,Badajoz,-6.24261556_ ,38.07463833_ ,6085
TSI-068100-2024-0084,06_06108_000477,06_00003,Badajoz,-6.33859583_ ,38.38207472_ ,6108
TSI-068100-2024-0084,06_06111_000487,06_00007,Badajoz,-5.80310611_ ,39.04507139_ ,6111
TSI-068100-2024-0084,06_06123_000504,06_00001,Badajoz,-7.13222056_ ,39.35049361_ ,6123
TSI-068100-2024-0045,06_06036_000310,0000000-0600945,Badajoz,-5.47523339_ ,38.91408069_ ,6036
TSI-068100-2024-0045,06_06062_000314,0000000-0600831,Badajoz,-4.77852173_ ,39.32371793_ ,6062
TSI-068100-2024-0045,06_06047_000312,0000000-0600187,Badajoz,-5.59611635_ ,38.64832567_ ,6047
TSI-068100-2024-0045,06_06066_000296,0000000-0600134,Badajoz,-6.97823206_ ,38.44308798_ ,6066
TSI-068100-2024-0045,06_06072_000340,0000000-0600202,Badajoz,-6.59349768_ ,38.85575240_ ,6072
TSI-068100-2024-0045,06_06037_000321,0000000-0600428,Badajoz,-7.21769512_ ,39.25019815_ ,6037
TSI-068100-2024-0045,06_06121_000511,0000000-0600084,Badajoz,-6.69722175_ ,38.64234419_ ,6092
TSI-068100-2024-0045,06_06063_000315,0000000-0600434,Badajoz,-5.13333757_ ,39.19307771_ ,6063
TSI-068100-2024-0084,06_06060_000281,06_00006,Badajoz,-6.15583028_ ,38.97893222_ ,6119
TSI-068100-2024-0084,06_06099_000466,06_00005,Badajoz,-6.67305194_ ,38.51624306_ ,6099
